Rank,Points,Team,University,Finish Time,Rank Gap,Lead Gap
1,30 Pts,NULL,Northumbria,Nov 01 @ 19:22:50,-,-
2,29 Pts,Seg Fault Squad,Rhul,Nov 01 @ 19:31:16,+8 min,+8 min
3,28 Pts,Hacky McHackface,Southwales,Nov 01 @ 19:49:33,+18 min,+26 min
4,27 Pts,SIGINT,ED,Nov 01 @ 21:03:36,+1 hrs,+1 hrs
5,26 Pts,The Stallions,Lancaster,Nov 01 @ 21:12:08,+8 min,+1 hrs
6,25 Pts,Piethon,Lancaster,Nov 01 @ 21:12:38,+30 sec,+1 hrs
7,24 Pts,The Famtastic Lomgbois,Lancaster,Nov 01 @ 21:13:02,+24 sec,+1 hrs
8,23 Pts,Gonzo Masters,Lancaster,Nov 01 @ 21:13:21,+19 sec,+1 hrs
9,8 Pts,JEKyll,Bham,In Progress (80%),-,-
10,7 Pts,Runtime Terror,Lancaster,In Progress (70%),-,-
11,6 Pts,SESH A,Sheffield,In Progress (60%),-,-
12,6 Pts,unb00tables,Manchester,In Progress (60%),-,-
13,5 Pts,SIGINT,ED,In Progress (50%),-,-
14,5 Pts,M4nch35t3r,Manchester,In Progress (50%),-,-
15,1 Pts,z00mers,Kent,In Progress (10%),-,-
